// 飛行敵(1)：登場始点(3D)、登場終点(2D)、生存時間、撤退終点(2D)
// 砲台敵(2)：出現位置(3D)
// 出現敵(3)：出現位置(3D)
WAIT,70,,
// ◇陣形
POP,3, 6,  8, 105
POP,3,-6,  8, 105
POP,3,-0, 14, 105
POP,3, 0,  2, 105
WAIT,240,,
// □陣形
POP,3, -20, 10,200
POP,3, -10, 10,200
POP,3,   0, 10,200
POP,3, -20,  0,200
POP,3, -10,  0,200
POP,3,   0,  0,200
POP,3, -20,-10,200
POP,3, -10,-10,200
POP,3,   0,-10,200
WAIT,240,,
// 二列陣形(奥)
// 右
POP,2,  24, -30,300
POP,2,  24, -30,340
POP,2,  24, -30,380
POP,2,  24, -30,420
// 左
POP,2, -24, -30,300
POP,2, -24, -30,340
POP,2, -24, -30,380
POP,2, -24, -30,420
WAIT,540,,
// 二列陣形(上下)
// 上
POP,1, 124, 15,480,-24,15,420,-164,15
POP,1, 136, 15,480, -8,15,420,-148,15
POP,1, 148, 15,480,  8,15,420,-136,15
POP,1, 164, 15,480, 24,15,420,-124,15
// 下
POP,1,-164, -15,480,-24,-15,420,124,-15
POP,1,-148, -15,480, -8,-15,420,136,-15
POP,1,-136, -15,480,  8,-15,420,148,-15
POP,1,-124, -15,480, 24,-15,420,164,-15
WAIT,300,
// 長方形陣形
POP,3, -18, -5,660
POP,3,  -6, -5,660
POP,3,   6, -5,660
POP,3,  18, -5,660
POP,3, -18,-15,660
POP,3,  -6,-15,660
POP,3,   6,-15,660
POP,3,  18,-15,660
WAIT,180,
// まばら陣形
POP,3, 12,-15,780
POP,3, -6, -5,820
POP,3,  2,  5,860
